Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10n,CP_Elec_3x5.3,69.5,-86.5,0.0,top
C2,10n,CP_Elec_3x5.3,76.0,-97.0,0.0,top
C3,10n,CP_Elec_3x5.3,108.5,-125.0,0.0,top
C4,10n,CP_Elec_3x5.3,111.5,-90.5,0.0,top
D1,TSAL4400,LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O1.27mm_Z8.2mm,76.25,-88.325,180.0,top
D2,TSAL4400,LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O1.27mm_Z8.2mm,98.693237,-85.5,-116.5,top
D3,TSAL4400,LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O1.27mm_Z8.2mm,120.074609,-85.907083,116.5,top
D4,TSAL4400,LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O1.27mm_Z8.2mm,131.775,-88.0,180.0,top
D5,SFH203FA,LED_D5.0mm_IRGrey,83.985,-88.325,0.0,top
D6,SFH203FA,LED_D5.0mm_IRGrey,102.5,-78.0,-116.6,top
D7,SFH203FA,LED_D5.0mm_IRGrey,117.0,-79.0,116.5,top
D9,SFH203FA,LED_D5.0mm_IRGrey,139.275,-87.5,0.0,top
IC1,LM324DT,SOIC-14_3.9x8.7mm_P1.27mm,94.5,-115.5,180.0,top
Q1,NMOS,TO-92_Inline,84.27,-104.0,0.0,top
Q2,NMOS,TO-92_Inline,101.0,-104.0,0.0,top
Q3,NMOS,TO-92_Inline,118.0,-104.36,180.0,top
Q4,NMOS,TO-92_Inline,138.0,-103.5,0.0,top
R1,1k,R_0201_0603Metric,82.345,-109.0,0.0,top
R2,47k,R_0201_0603Metric,85.5,-109.0,0.0,top
R3,15,R_0201_0603Metric,104.0,-91.0,180.0,top
R4,1k,R_0201_0603Metric,99.5,-108.0,0.0,top
R5,47k,R_0201_0603Metric,102.345,-108.0,0.0,top
R6,15,R_0201_0603Metric,104.5,-89.345,90.0,top
R7,1k,R_0201_0603Metric,116.5,-100.5,0.0,top
R8,47k,R_0201_0603Metric,119.655,-100.5,0.0,top
R9,15,R_0201_0603Metric,114.655,-86.0,0.0,top
R10,220k,R_0201_0603Metric,68.845,-101.5,0.0,top
R11,220k,R_0201_0603Metric,85.5,-97.0,0.0,top
R12,220k,R_0201_0603Metric,114.5,-118.5,180.0,top
R13,1k,R_0201_0603Metric,136.655,-108.0,0.0,top
R14,47k,R_0201_0603Metric,139.5,-108.0,0.0,top
R15,15,R_0201_0603Metric,116.5,-91.5,0.0,top
R16,220k,R_0201_0603Metric,122.5,-97.5,0.0,top
